日期,方向,价格,份额,金额,原因
2018-05-22,BUY,1877.87,500,938937.5,MA250突破
2018-05-25,SELL,1802.74,500,901371.73,ma_cross
2019-02-25,BUY,1537.91,600,922744.42,MA250放量1天
2019-02-27,SELL,1518.9,600,911339.15,ma_cross
2019-02-28,BUY,1537.22,600,922329.41,MA250放量1天
2019-04-08,SELL,1737.92,600,1042749.21,area
2019-05-28,BUY,1506.67,700,1054667.71,水下金叉回补
2019-06-03,SELL,1467.51,700,1027258.41,ma_cross
2019-07-08,BUY,1508.17,600,904900.6,MA250突破
2020-02-25,SELL,2285.02,600,1371014.21,area
2020-04-07,BUY,1971.75,700,1380226.11,水下金叉回补
2020-07-08,SELL,2649.32,700,1854522.2,area
2020-09-30,BUY,2577.33,700,1804133.14,水下金叉回补
2021-01-25,SELL,3351.88,700,2346319.4,area
2021-03-25,BUY,2658.65,900,2392789.32,水下金叉回补
2021-06-10,SELL,3282.22,900,2954001.59,area
2021-09-09,BUY,3225.16,900,2902646.38,水下金叉回补
2022-01-05,SELL,3158.35,900,2842511.12,ma_cross
2024-09-27,BUY,1887.37,1500,2831061.43,MA250放量1天
2024-10-24,SELL,2172.92,1500,3259380.16,area
2025-01-17,BUY,2069.34,1600,3310947.16,水下金叉回补
2025-04-07,SELL,1805.4,1600,2888638.23,ma_cross
2025-05-23,BUY,2023.52,1400,2832928.84,MA250突破
2025-08-19,SELL,2599.14,1400,3638797.9,area
2025-12-04,BUY,3070.55,1200,3684662.02,水下金叉回补
2026-05-14,SELL,3947.19,1200,4736627.11,area
