date,open,high,low,close,volume,amount
2020-01-15,2.959,2.962,2.935,2.951,278961,
2020-01-16,2.951,2.954,2.939,2.947,134183,
2020-01-17,2.800,2.816,2.780,2.784,500458,
2020-01-20,2.784,2.789,2.770,2.784,178994,
2020-01-21,2.784,2.800,2.731,2.733,377722,
2020-01-22,2.732,2.742,2.694,2.729,280971,
2020-01-23,2.720,2.730,2.649,2.667,522070,
2020-02-03,2.456,2.456,2.410,2.418,1120352,
2020-02-04,2.418,2.483,2.413,2.482,481791,
2020-02-05,2.483,2.533,2.476,2.514,487158,
2020-02-06,2.516,2.530,2.490,2.520,400172,
2020-02-07,2.513,2.515,2.490,2.514,285103,
2020-02-10,2.513,2.558,2.496,2.557,489618,
2020-02-11,2.563,2.585,2.553,2.571,232761,
2020-02-12,2.571,2.578,2.557,2.578,158418,
2020-02-13,2.576,2.581,2.560,2.562,162421,
2020-02-14,2.559,2.578,2.558,2.577,137725,
2020-02-17,2.577,2.623,2.577,2.622,204545,
2020-02-18,2.623,2.635,2.612,2.624,192767,
2020-02-19,2.623,2.634,2.615,2.622,167299,
2020-02-20,2.622,2.659,2.619,2.658,276213,
2020-02-21,2.658,2.692,2.655,2.674,348616,
2020-02-24,2.672,2.672,2.638,2.656,295508,
2020-02-25,2.625,2.626,2.580,2.622,329863,
2020-02-26,2.590,2.661,2.590,2.629,294975,
2020-02-27,2.634,2.652,2.625,2.631,154485,
2020-02-28,2.600,2.601,2.545,2.558,456321,
2020-03-02,2.559,2.644,2.559,2.637,255541,
2020-03-03,2.660,2.680,2.628,2.644,279566,
2020-03-04,2.637,2.669,2.629,2.668,194485,
2020-03-05,2.675,2.696,2.672,2.690,265979,
2020-03-06,2.675,2.675,2.655,2.667,156505,
2020-03-09,2.621,2.630,2.593,2.596,301881,
2020-03-10,2.590,2.639,2.578,2.633,240926,
2020-03-11,2.633,2.643,2.616,2.617,281189,
2020-03-12,2.597,2.598,2.568,2.576,476573,
2020-03-13,2.500,2.552,2.471,2.532,496346,
2020-03-16,2.535,2.563,2.466,2.474,702458,
2020-03-17,2.475,2.500,2.415,2.451,683882,
2020-03-18,2.461,2.482,2.418,2.425,218632,
2020-03-19,2.420,2.424,2.346,2.382,687022,
2020-03-20,2.392,2.408,2.375,2.407,450741,
2020-03-23,2.369,2.369,2.326,2.332,493283,
2020-03-24,2.368,2.378,2.341,2.374,170012,
2020-03-25,2.412,2.438,2.408,2.431,198265,
2020-03-26,2.428,2.430,2.411,2.413,115161,
2020-03-27,2.433,2.449,2.423,2.426,133884,
2020-03-30,2.408,2.415,2.386,2.404,113490,
2020-03-31,2.418,2.424,2.397,2.399,116258,
2020-04-01,2.399,2.412,2.383,2.383,155148,
2020-04-02,2.380,2.411,2.350,2.409,96691,
2020-04-03,2.409,2.414,2.393,2.402,116079,
2020-04-07,2.424,2.439,2.422,2.437,292994,
2020-04-08,2.434,2.439,2.424,2.438,175400,
2020-04-09,2.440,2.448,2.436,2.437,102791,
2020-04-10,2.437,2.443,2.415,2.420,120595,
2020-04-13,2.420,2.421,2.401,2.410,144830,
2020-04-14,2.413,2.435,2.413,2.434,81025,
2020-04-15,2.436,2.439,2.421,2.425,105419,
2020-04-16,2.421,2.424,2.410,2.417,76197,
2020-04-17,2.424,2.435,2.421,2.424,118839,
2020-04-20,2.424,2.428,2.416,2.427,78539,
2020-04-21,2.426,2.426,2.397,2.411,157343,
2020-04-22,2.404,2.413,2.394,2.412,101325,
2020-04-23,2.413,2.417,2.403,2.404,79945,
2020-04-24,2.403,2.404,2.382,2.386,379802,
2020-04-27,2.387,2.401,2.386,2.397,103562,
2020-04-28,2.395,2.396,2.346,2.379,173821,
2020-04-29,2.378,2.416,2.375,2.411,486442,
2020-04-30,2.413,2.452,2.413,2.452,190405,
2020-05-06,2.442,2.451,2.422,2.451,130091,
2020-05-07,2.451,2.455,2.440,2.452,100758,
2020-05-08,2.453,2.472,2.453,2.469,111284,
2020-05-11,2.469,2.483,2.457,2.467,210412,
2020-05-12,2.467,2.469,2.446,2.456,107201,
2020-05-13,2.450,2.461,2.441,2.458,96379,
2020-05-14,2.458,2.459,2.434,2.434,778617,
2020-05-15,2.436,2.444,2.427,2.429,255053,
2020-05-18,2.430,2.436,2.422,2.429,86526,
2020-05-19,2.435,2.446,2.431,2.437,69504,
2020-05-20,2.437,2.438,2.419,2.421,133205,
2020-05-21,2.422,2.427,2.410,2.413,96651,
2020-05-22,2.414,2.415,2.371,2.379,272802,
2020-05-25,2.379,2.380,2.364,2.378,99890,
2020-05-26,2.380,2.391,2.379,2.390,79410,
2020-05-27,2.391,2.408,2.389,2.402,260093,
2020-05-28,2.402,2.414,2.391,2.406,262774,
2020-05-29,2.403,2.403,2.386,2.392,99771,
2020-06-01,2.392,2.433,2.392,2.432,217459,
2020-06-02,2.432,2.443,2.430,2.438,140630,
2020-06-03,2.445,2.465,2.445,2.448,130507,
2020-06-04,2.467,2.469,2.450,2.459,168853,
2020-06-05,2.459,2.459,2.436,2.444,99750,
2020-06-08,2.446,2.460,2.446,2.454,109815,
2020-06-09,2.454,2.462,2.454,2.460,93539,
2020-06-10,2.460,2.461,2.446,2.450,79054,
2020-06-11,2.452,2.453,2.430,2.433,167357,
2020-06-12,2.420,2.431,2.401,2.430,79783,
2020-06-15,2.430,2.431,2.411,2.414,109703,
2020-06-16,2.420,2.444,2.420,2.442,109083,
2020-06-17,2.442,2.456,2.441,2.450,89272,
2020-06-18,2.450,2.477,2.444,2.471,171064,
2020-06-19,2.471,2.473,2.462,2.468,118868,
2020-06-22,2.468,2.470,2.453,2.456,135251,
2020-06-23,2.456,2.456,2.442,2.447,103423,
2020-06-24,2.448,2.455,2.446,2.450,108564,
2020-06-29,2.450,2.450,2.429,2.432,194484,
2020-06-30,2.436,2.451,2.436,2.449,155705,
2020-07-01,2.451,2.490,2.451,2.489,297376,
2020-07-02,2.490,2.548,2.480,2.546,308116,
2020-07-03,2.550,2.591,2.550,2.583,326707,
2020-07-06,2.597,2.773,2.597,2.766,1247451,
2020-07-07,2.783,2.853,2.710,2.723,984027,
2020-07-08,2.724,2.766,2.695,2.763,471651,
2020-07-09,2.760,2.782,2.726,2.775,427655,
2020-07-10,2.775,2.775,2.700,2.713,370087,
2020-07-13,2.712,2.774,2.705,2.766,387281,
2020-07-14,2.768,2.793,2.712,2.750,309400,
2020-07-15,2.760,2.766,2.685,2.710,346795,
2020-07-16,2.710,2.732,2.636,2.638,585990,
2020-07-17,2.639,2.670,2.620,2.640,293949,
2020-07-20,2.644,2.744,2.644,2.741,388029,
2020-07-21,2.745,2.756,2.725,2.734,235583,
2020-07-22,2.734,2.767,2.731,2.735,281823,
2020-07-23,2.732,2.732,2.662,2.702,239802,
2020-07-24,2.702,2.703,2.608,2.625,302621,
2020-07-27,2.625,2.640,2.597,2.612,176521,
2020-07-28,2.614,2.643,2.614,2.631,137797,
2020-07-29,2.622,2.667,2.613,2.662,188310,
2020-07-30,2.674,2.685,2.663,2.664,143000,
2020-07-31,2.665,2.700,2.660,2.683,168726,
2020-08-03,2.702,2.746,2.702,2.744,389910,
2020-08-04,2.758,2.765,2.730,2.745,340651,
2020-08-05,2.745,2.745,2.708,2.730,119124,
2020-08-06,2.731,2.747,2.714,2.743,220957,
2020-08-07,2.743,2.743,2.710,2.738,264911,
2020-08-10,2.740,2.777,2.740,2.770,512190,
2020-08-11,2.770,2.798,2.750,2.757,387257,
2020-08-12,2.757,2.757,2.703,2.737,287924,
2020-08-13,2.742,2.768,2.740,2.761,292722,
2020-08-14,2.763,2.777,2.730,2.775,194374,
2020-08-17,2.780,2.850,2.780,2.837,424249,
2020-08-18,2.838,2.848,2.832,2.840,244448,
2020-08-19,2.843,2.860,2.825,2.832,258368,
2020-08-20,2.832,2.835,2.810,2.817,180925,
2020-08-21,2.818,2.829,2.801,2.814,219716,
2020-08-24,2.822,2.828,2.812,2.818,185449,
2020-08-25,2.829,2.836,2.798,2.805,237208,
2020-08-26,2.805,2.807,2.757,2.765,291357,
2020-08-27,2.767,2.773,2.745,2.766,146441,
2020-08-28,2.766,2.802,2.762,2.799,163098,
2020-08-31,2.807,2.817,2.788,2.789,232667,
2020-09-01,2.789,2.791,2.766,2.787,148814,
2020-09-02,2.790,2.799,2.775,2.787,125800,
2020-09-03,2.787,2.804,2.775,2.782,155205,
2020-09-04,2.781,2.781,2.737,2.762,235135,
2020-09-07,2.765,2.786,2.745,2.749,239040,
2020-09-08,2.752,2.766,2.740,2.761,185059,
2020-09-09,2.749,2.757,2.725,2.739,224902,
2020-09-10,2.743,2.756,2.718,2.721,222142,
2020-09-11,2.722,2.723,2.697,2.718,215803,
2020-09-14,2.721,2.727,2.710,2.720,181161,
